Path,Description
DH-ITALY01SN.tdl,italy brick and stone walkway
DH-ITALY02SN.tdl,italy field of sunflowers
DH-ITALY03SN.tdl,italy brick and stone walkway with plants
DH-ITALY04SN.tdl,italy brick and stone buildings and grass
DH-ITALY05SN.tdl,italy grass field with stone building behind
DH-ITALY06SN.tdl,italy outdoor cafe with concrete street and sky
DH-ITALY07SN.tdl,italy stone and brick building with concrete street
DH-ITALY08SN.tdl,italy gray stone alleyway with plants
DH-ITALY09SN.tdl,italy red stone piazza with tan buildings and concrete street
DH-ITALY10SN.tdl,italy open grass field with vineyard in back and some trees
DH-ITALY11SN.tdl,italy large open wheat on rolling hills
DH-ITALY12SN.tdl,italy open grass field in afternoon
DH-ITALY13SN.tdl,italy wheat field with trees and powerline with hills in back
DH-ITALY14SN.tdl,italy walkway with trees on one side and stone wall on the other angle 1
DH-ITALY15SN.tdl,italy walkway with trees on one side and stone wall on the other angle 2
DH-ITALY16SN.tdl,italy dry dirt hills with trees and small yellow flowers in back
DH-ITALY17SN.tdl,italy dry wheat field with small red flowersand line of trees in back
DH-ITALY18SN.tdl,italy house and trees on a hill next to field
DH-ITALY19SN.tdl,italy backyard of house with dry ground and tree with house and hill at back
DH-ITALY20SN.tdl,italy view onto valley with stone house behind
DH-ITALY21SN.tdl,italy gray stony field with thin tall treeds at back
DH-ITALY22SN.tdl,italy large stone walkway in front of gray stone builings looking across to more buildings
DH-ITALY23SN.tdl,italy large open stone underground space perhaps a quarry or church basement
DH-ITALY24SN.tdl,italy large open stone underground space perhaps a marble quarry
DH-ITALY25SN.tdl,italy large open stone underground space perhaps a marble quarry
DH-ITALY26SN.tdl,italy entrance to maybe a marble quarry across from hill
DH-ITALY27SN.tdl,italy entrance to maybe a marble quarry across from hill
DH-ITALY28SN.tdl,italy open stone area in midst of marble quarry
DH-ITALY29SN.tdl,italy open stone area in midst of marble quarry
DH-ITALY30SN.tdl,italy stone plaza surrounded by trees in a park or garden 
DH-ITALY31SN.tdl,italy stone courtyard with trees looking out onto mansion
DH-ITALY32SN.tdl,italy trees in a field with dry wheat
DH-ITALY33SN.tdl,italy rocky shore scene
DH-ITALY34SN.tdl,italy resort cafe with blue striped awning facing ocean
DH-ITALY35SN.tdl,italy rocky shore scene with cliff
DH201SN.tdl,park with trees bare ground and lake
DH202SN.tdl,white tiled corridor in a european subway station
DH203SN.tdl,stone court surrounded by brown brick buildings and arches with chilehaus store
DH204SN.tdl,stone court surrounded by brown brick shopping area buildings
DH205SN.tdl,stone court surrounded by brown brick shopping area buildings
DH206SN.tdl,studio interior with wooden floor and white walls and large windows
DH207SN.tdl,empty apartment interior with wooden floor and doors and white walls
DH208SN.tdl,modern corporate building exterior with silvery panelling with grass in foreground
DH209SN.tdl,snowy rooftop in residential european apartment building area
DH210SN.tdl,industrial river quai with metal structures and large fishing trawler
DH211SN.tdl,large open european stone piazza surrounded by six story buildings and port in background
DH212SN.tdl,empty apartment interior with wooden floor and doors and white walls
DH213SN.tdl,gray stone area with brown brick building shipping crane and car in background
DH214SN.tdl,italian brown brick and stone covered walkway with building and vespa
DH215SN.tdl,gray concrete area with river brown brick building shipping crane in background
DH216SN.tdl,empty warehouse with wooden ceiling and gray conrete floor and while wall with wooden doors
DH217SN.tdl,ornate european restaurant interior with white tablecloths and wooden floors
DH218SN.tdl,swiss mountain scene with outdoor hilltop cafe chalet sheep and swiss flag
DH219SN.tdl,rooftop balcony overlooking european city with stone building re-entry door on side
DH220SN.tdl,german church interior with altar white marble balcony wooden pews and pipe organ
DH221SN.tdl,grassy hilly field with small brook and trees and farmhouse in background
DH222SN.tdl,european stone plaza with ornate clocktower and building and palazzo
DH223SN.tdl,vineyard with grass field in foreground and large willow with house in background
DH224SN.tdl,airport or trainstation interior with high metal ceiling and gray stone floor and checkin counters
INTERIOR_01SN.tdl,home interior corridor with wooden floor and white walls and interesting clock
INTERIOR_02SN.tdl,interior of female child's bedroom with white rug bunkbed low table and chairs and dolls
INTERIOR_03SN.tdl,interior of home foyer with wooden floor and white walls looking into several rooms
INTERIOR_04SN.tdl,interior of home kitchen with dining area white furniture and colored walls
INTERIOR_05SN.tdl,restaurant interior with white stone slab floor and wooden tables and modern decor
INTERIOR_06SN.tdl,cafe interior with stone floors and wooden tables 
INTERIOR_07SN.tdl,european restaurant interior with red stone floor and gray stone wall with bull poster and wooden furniture
INTERIOR_08SN.tdl,restaurant interior with red stone floor and gray stone wall with bull poster and window overlooking street
INTERIOR_09SN.tdl,restaurant interior with red stone floor and gray stone wall windows and tables
INTERIOR_10SN.tdl,outdoor cafe on city street with cars and buildins opposite
INTERIOR_11SN.tdl,cafe interior looking out onto street through open doors and windows
INTERIOR_12SN.tdl,cafe interior
INTERIOR_13SN.tdl,open interior of top floor of large modern building with transparent glass roof and small triangular reflecting pool
INTERIOR_14SN.tdl,open interior of top floor of large modern building with transparent glass roof and stone floor
INTERIOR_15SN.tdl,open interior of top floor of large modern building with transparent glass roof and stone floor
INTERIOR_16SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and indoor plants
INTERIOR_17SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and indoor plants
INTERIOR_18SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and interior glass divider windows
INTERIOR_19SN.tdl,gray concrete stairwell interior with skylights
INTERIOR_20SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor
INTERIOR_21SN.tdl,shopping mall or office space interior with gray stone floor and white walls
INTERIOR_22SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor
INTERIOR_23SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and interior glass divider windows
INTERIOR_24SN.tdl,open interior of top floor of large modern office building with transparent glass roof looking down into open atrium central space
INTERIOR_25SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor
INTERIOR_26SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and interior glass divider windows and hanging plant
INTERIOR_27SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and interior glass divider windows and hanging plant
INTERIOR_28SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor and interior glass divider windows
INTERIOR_29SN.tdl,open interior of top floor of large modern office building with transparent glass roof and stone floor looking out into open atrium central space
MOUNT_01SN.tdl,field with mountains and sun in background
MOUNT_02SN.tdl,dry brown grassy hill with boulders in mountains with sun in background
MOUNT_03SN.tdl,asphalt road with high desert mountains in background
MOUNT_04SN.tdl,dry brown grassy hill with boulders in mountains with sun in background
MOUNT_05SN.tdl,asphalt road with high desert mountains in background
MOUNT_06SN.tdl,asphalt road with high desert mountains and rest area with cars and building in background
MOUNT_07SN.tdl,winding asphalt road with high desert mountains in background
MOUNT_08SN.tdl,asphalt road among high desert mountain cliffs
MOUNT_09SN.tdl,winding asphalt road among high desert mountain cliffs
MOUNT_10SN.tdl,dry brown grassy hillside in mountains with sun in background
MOUNT_11SN.tdl,dry brown grassy hillside in mountains with sun in background
MOUNT_12SN.tdl,asphalt road in high desert mountains with slender trees shading road in afternoon
MOUNT_13SN.tdl,winding asphalt road and dry grassy knoll among high desert mountains
MOUNT_14SN.tdl,rocky slope with light snow and blue sky in desert mountains
MOUNT_15SN.tdl,rocky slope and blue sky with bright sun in desert mountains
MOUNT_16SN.tdl,rocky slope and blue sky with bright sun in desert mountains
MOUNT_17SN.tdl,rocky slope with light snow cover bright sun and blue sky in desert mountains
MOUNT_18SN.tdl,asphalt road in high desert mountains with slender trees and stone retaining wall in afternoon
MOUNT_19SN.tdl,stone walkway across clear blue lake in desert mountains with blue sky and bright sun
MOUNT_20SN.tdl,cracked concrete walkway across clear blue lake in desert mountains with blue sky and bright sun
MOUNT_21SN.tdl,dry grassy knoll in desert mountains with blue sky and small village in background
MOUNT_22SN.tdl,rocky plain in desert mountains with blue sky and bright sun
MOUNT_23SN.tdl,asphalt road in desert mountains with blue sky in afternoon
MOUNT_24SN.tdl,high altitude alphalt road above green valley with blue sky and trees
MOUNT_25SN.tdl,rocky outcropping in desert mountains with building in background
MOUNT_26SN.tdl,winding high altitude road in mountains with trees and stone retaining wall
MOUNT_27SN.tdl,winding asphalt road and dry grassy knoll among high desert mountains with bright sun
MOUNT_28SN.tdl,winding asphalt road and dry grassy knoll among high desert mountains with blue sky
MOUNT_29SN.tdl,winding asphalt road in desert mountains with blue sky and bright sun
MOUNT_30SN.tdl,dry grassy plain in mountains with blue sky
MOUNT_31SN.tdl,wide asphalt road in mountains
MOUNT_32SN.tdl,wide asphalt road in mountains
MOUNT_33SN.tdl,winding high altitude road in mountains with stone retaining wall with narrow entrance
